,Rm-Rf,SMB,HML,RMW,CMA,Rf,Mom,ST_Rev,Rp_ew_cc,Rp_ew_fi,Rp_vw_cc,Rp_vw_fi
01/07/1991,1.62,-1.1,-0.35,0.33,-0.53,0.022,0.71,0.72,0,0,0,0
02/07/1991,-0.12,0,-0.07,0.4,-0.13,0.022,0.26,-0.34,0,0,0,0
03/07/1991,-0.98,0.26,-0.09,0.03,0.11,0.022,0.23,-0.15,-0.000112868,-0.001128678,-0.000112868,-0.001128678
05/07/1991,0.17,-0.17,-0.11,0.07,0.01,0.022,0.09,0.34,0.00063341,0.006334096,0.000629266,0.006299063
08/07/1991,0.82,-0.54,-0.23,0.3,-0.49,0.022,0.41,0.89,0.000405104,0.002700693,0.000403937,0.002685064
09/07/1991,-0.13,0.69,-0.1,0.21,-0.18,0.022,0.44,0.94,-0.000696884,-0.003484422,-0.000692164,-0.003448135
10/07/1991,0.01,0.54,-0.16,-0.03,0.07,0.022,0.29,0.59,-2.05E-05,-0.000102716,-1.44E-05,-7.19E-05
11/07/1991,0.3,-0.02,-0.23,0.16,-0.02,0.022,0.3,0.04,-0.000396347,-0.001981734,-0.000430806,-0.002152196
12/07/1991,0.75,-0.27,-0.01,0.06,-0.19,0.022,0.42,0.47,0.0009886,0.004942999,0.000971814,0.004863304
15/07/1991,0.6,0.01,0.22,0.2,-0.13,0.022,0.32,0.56,-0.001267135,-0.004223783,-0.001277544,-0.004251008
16/07/1991,-0.21,0.16,0.51,-0.26,0.39,0.022,-0.01,0.58,0.001011669,0.002890483,0.001000065,0.002860117
17/07/1991,-0.05,0.19,-0.03,-0.26,0.22,0.022,-0.37,0.42,-0.000348115,-0.000994615,-0.000393291,-0.001122697
18/07/1991,0.9,-0.22,0.01,0.05,-0.03,0.022,-0.16,0.33,-0.001491021,-0.00426006,-0.001574926,-0.004499107
19/07/1991,-0.24,0.5,0.09,-0.06,0.08,0.022,-0.07,0.07,-0.002246504,-0.00561626,-0.002263052,-0.005670353
22/07/1991,-0.37,0.11,0.12,-0.16,-0.1,0.022,-0.04,0.32,0.001752998,0.004382494,0.001738417,0.004370742
23/07/1991,-0.91,0.13,0.24,-0.14,0.37,0.022,-0.28,0.26,-0.001006644,-0.002516609,-0.001069164,-0.002681055
24/07/1991,-0.31,-0.2,0.15,0.17,0.1,0.022,0.24,0.1,-0.000388858,-0.000864128,-0.000377777,-0.000842695
25/07/1991,0.55,-0.44,0.05,0.02,-0.23,0.022,0.17,0.2,-0.000900532,-0.002001182,-0.000844919,-0.001885612
26/07/1991,0.06,-0.04,-0.04,0.03,0.14,0.022,0.14,0.03,0.001687367,0.003374733,0.001615613,0.003245263
29/07/1991,0.47,-0.56,-0.32,0.14,-0.29,0.022,0.28,-0.12,0.002281451,0.004562901,0.002144334,0.004300303
30/07/1991,0.86,-0.3,-0.47,0.18,-0.25,0.022,0.29,0.17,-0.000596196,-0.001192391,-0.000577902,-0.001156452
31/07/1991,0.39,0.33,-0.43,-0.04,-0.31,0.022,0.18,0.16,-0.002829565,-0.005659131,-0.002853681,-0.005713867
01/08/1991,-0.12,0.22,-0.16,0,-0.37,0.021,0.01,-0.08,0.000935378,0.001870755,0.000958177,0.001924057
02/08/1991,0.09,0.12,-0.05,-0.04,-0.09,0.021,0.36,0.07,0.001507186,0.003014372,0.001416384,0.002841414
05/08/1991,-0.53,0.22,0.2,-0.01,0.04,0.021,0.22,0.11,0.001670971,0.003038129,0.001505154,0.002740285
06/08/1991,1.22,-0.89,0.02,0.49,0.06,0.021,0.13,-0.06,-0.001220348,-0.002440697,-0.001259692,-0.002526259
07/08/1991,0.09,0.1,-0.07,0.05,-0.11,0.021,0.29,0.02,0.000952012,0.001730932,0.000940495,0.001715995
08/08/1991,-0.16,0.2,-0.02,-0.15,0.13,0.021,0.21,0.19,0.002099291,0.003498818,0.002091567,0.00349455
09/08/1991,-0.43,0.58,-0.15,0.13,0.16,0.021,0.19,-0.06,0.003225458,0.005375763,0.003233909,0.0053956
12/08/1991,0.2,-0.22,0.59,0.17,0.13,0.021,0.21,-0.04,-0.003260322,-0.00543387,-0.003244634,-0.005401855
13/08/1991,0.42,-0.01,0.68,0.02,0.21,0.021,0.38,-0.21,0.000699227,0.001165378,0.000674221,0.001124916
14/08/1991,0.21,0.23,-0.16,0.25,-0.3,0.021,0.33,-0.47,0.005502187,0.008464903,0.005528293,0.008511524
15/08/1991,-0.16,0.14,-0.42,0.1,-0.05,0.021,-0.36,0.46,0.001673304,0.002574314,0.00167147,0.002565832
16/08/1991,-0.85,0.47,-0.03,-0.21,0.4,0.021,-0.12,0.35,-0.001677674,-0.002396678,-0.001689841,-0.00240433
19/08/1991,-2.38,-0.59,-0.2,0.07,0.03,0.021,-0.86,0.5,-0.000463802,-0.000713542,-0.000422908,-0.000650503
20/08/1991,0.72,0.17,-0.11,0.05,-0.05,0.021,0.26,-0.42,0.002105311,0.00323894,0.002110043,0.003246333
21/08/1991,2.76,-0.31,-0.34,0.42,-0.68,0.021,1.44,-0.01,0.000303075,0.000432965,0.000226294,0.000325437
22/08/1991,0.2,0.26,-0.11,0.03,0.13,0.021,0.22,0.25,-0.003129917,-0.003682255,-0.003100564,-0.00367377
23/08/1991,0.62,-0.14,0.26,-0.11,-0.01,0.021,-0.17,0.85,0.002537677,0.002819641,0.002503564,0.002803044
26/08/1991,-0.06,0.21,-0.01,-0.34,0.17,0.021,-0.02,0.4,0.003741867,0.004402197,0.003679939,0.004371228
27/08/1991,-0.12,0.26,-0.46,-0.02,-0.16,0.021,-0.11,0.09,-0.001994459,-0.002346422,-0.001979188,-0.002349367
28/08/1991,0.85,-0.21,0.01,0,0.01,0.021,0.38,-0.29,-0.000922092,-0.001084814,-0.00091443,-0.001085864
29/08/1991,-0.02,0.21,-0.05,-0.03,-0.22,0.021,-0.01,0.39,0.000539722,0.000634967,0.000525877,0.000624574
30/08/1991,-0.15,0.45,-0.16,0.04,0.1,0.021,-0.29,0.49,-0.000679347,-0.000799232,-0.000696044,-0.000826597
03/09/1991,-0.8,0.08,0.12,-0.17,0.19,0.023,-0.2,0.6,-3.69E-06,-4.34E-06,-1.20E-05,-1.43E-05
04/09/1991,-0.57,0.15,-0.03,-0.16,-0.06,0.023,-0.28,0.28,-0.000751254,-0.000883829,-0.000779112,-0.000925368
05/09/1991,-0.27,0.21,-0.04,-0.42,0.25,0.023,-0.22,0.13,0.001505164,0.001770782,0.001478105,0.001755833
06/09/1991,-0.03,0.11,0.12,-0.12,0.13,0.023,0.2,0.14,0.000344918,0.000383242,0.000393075,0.000438491
09/09/1991,-0.13,0.18,-0.11,-0.04,-0.07,0.023,-0.05,0.01,-0.00022158,-0.000260682,-0.000177881,-0.000210566
10/09/1991,-1.04,-0.1,0.11,-0.09,0.12,0.023,-0.01,0.18,-0.00098172,-0.001154965,-0.001150852,-0.001362359
11/09/1991,0.18,0.12,-0.19,0.12,-0.27,0.023,0.06,0.21,-0.000333843,-0.000392756,-0.000417777,-0.000494663
12/09/1991,0.65,0.02,-0.55,0.27,-0.61,0.023,0.68,-0.03,0.001522579,0.00179127,0.0014435,0.001709284
13/09/1991,-0.92,0.67,0.16,-0.27,0.32,0.023,0.02,0.05,-0.002271893,-0.002839866,-0.002222086,-0.002799631
16/09/1991,0.42,-0.58,-0.23,0.01,0.17,0.023,-0.05,-0.19,-0.000239429,-0.000299286,-0.000243041,-0.000306387
17/09/1991,-0.05,-0.02,-0.12,0.07,-0.13,0.023,0.27,0.08,0.001227023,0.001636031,0.001137576,0.001532936
18/09/1991,0.37,-0.03,-0.15,-0.01,-0.06,0.023,0.21,0.17,0.002018398,0.002691197,0.001948992,0.002625319
19/09/1991,0.32,0.39,-0.25,-0.08,-0.12,0.023,0.58,0.11,0.002016965,0.002689287,0.001956536,0.002633703
20/09/1991,0.23,0.36,-0.28,-0.27,0.11,0.023,0.7,-0.33,0.00133772,0.001783626,0.001250416,0.001681296
23/09/1991,-0.47,0.13,-0.07,0.11,-0.23,0.023,-0.26,0,-0.000555552,-0.000740736,-0.000515209,-0.000692447
24/09/1991,0.44,-0.35,0.02,-0.12,-0.06,0.023,-0.05,0.44,-0.003546409,-0.004728545,-0.00341788,-0.004594483
25/09/1991,-0.17,0.06,-0.02,-0.14,0.1,0.023,0.18,-0.14,0.001076967,0.001435956,0.000932136,0.001254504
26/09/1991,-0.03,0.14,0.42,-0.31,0.04,0.023,-0.34,0.41,0.001825879,0.002608399,0.001954363,0.002826629
27/09/1991,-0.21,-0.1,0.1,-0.07,0.31,0.023,-0.01,0.16,0.000189702,0.000271002,0.000164729,0.000238044
30/09/1991,0.53,0.07,-0.04,-0.08,-0.08,0.023,0.04,-0.09,-0.000977117,-0.001395881,-0.000821118,-0.001186167
